CTYNAME,pop2021,GrowthRate
King County,2301620,18.7412
Pierce County,927428,16.6004
Snohomish County,840131,17.4187
Spokane County,541188,14.6388
Clark County,501869,17.6153
Thurston County,299496,18.3774
Kitsap County,275867,9.6098
Yakima County,251495,2.9637
Whatcom County,237347,17.7638
Benton County,210598,19.3426
Skagit County,131945,12.8275
Cowlitz County,114275,11.6425
Grant County,99855,11.4976
Franklin County,97660,23.4999
Island County,86969,10.5168
Lewis County,82983,9.9083
Clallam County,78891,10.3324
Chelan County,78096,7.3485
Grays Harbor County,77581,6.4971
Mason County,69544,14.5078
Walla Walla County,61050,3.6239
Whitman County,50946,13.7289
Kittitas County,49089,19.7585
Stevens County,46721,7.4738
Douglas County,44789,16.2928
Okanogan County,42495,3.0707
Jefferson County,33171,10.9435
Pacific County,23265,11.4278
Klickitat County,23003,12.8926
Asotin County,22514,3.6318
Adams County,20477,8.9782
San Juan County,18498,17.2021
Pend Oreille County,14000,8.1081
Skamania County,12411,11.6499
Lincoln County,11365,7.4908
Ferry County,7605,0.7952
Wahkiakum County,4634,16.3445
Columbia County,3877,-5.3004
Garfield County,2195,-2.9191
